"ENGLP_2016","Proficiency","AGE","Age","SEX_ABS","Sex","STATE","State","REGIONTYPE","Geography Level","ASGS_2016","Region","TIME","Year","Value","Flag Codes","Flags"
"4","Speaks other language and speaks English: Not well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2011","2011",72,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",107,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2006","2006",37,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2011","2011",75,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",115,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2006","2006",52,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2011","2011",83,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",119,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2006","2006",32,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2011","2011",76,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",97,,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2006","2006",636,,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2011","2011",645,,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",624,,
"1","Speaks English only","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2006","2006",615,,
"1","Speaks English only","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2011","2011",654,,
"1","Speaks English only","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",570,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2006","2006",41,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2011","2011",51,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",46,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2006","2006",37,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2011","2011",54,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",71,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2006","2006",28,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2011","2011",32,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",37,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2006","2006",19,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2011","2011",27,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",43,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2006","2006",20,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2011","2011",33,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",62,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2006","2006",24,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2011","2011",37,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",46,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2006","2006",20,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2011","2011",37,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",54,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2006","2006",24,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2011","2011",41,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",45,,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2006","2006",581,,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2011","2011",580,,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",553,,
"1","Speaks English only","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2006","2006",568,,
"1","Speaks English only","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2011","2011",534,,
"1","Speaks English only","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",457,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2006","2006",27,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2011","2011",35,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",52,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2006","2006",30,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2011","2011",47,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",37,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2006","2006",23,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2011","2011",19,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",44,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2006","2006",22,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2011","2011",27,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",48,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2006","2006",19,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2011","2011",38,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",67,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2006","2006",18,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2011","2011",48,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",51,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2006","2006",27,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2011","2011",43,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",58,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2006","2006",24,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2011","2011",42,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",50,,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40107","Unley","2006","2006",859,,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40107","Unley","2011","2011",835,,
